dimension,value,veto_bin,kept_tiles,tiles,fraction_of_kept,mean_veto_attention_mass,new_max_fraction,mean_v_max_norm,mean_v_variance
layer,21,5-8,43975,4124,0.09378055713473564,0.11717404425144196,0.6178467507274491,16.190553665161133,0.7679136991500854
layer,21,9-16,43975,4633,0.10535531552018192,0.1329026073217392,0.69134470105763,16.06509017944336,0.7640403509140015
layer,21,17-32,43975,5033,0.11445139283683911,0.15236800909042358,0.736141466322273,15.976245880126953,0.7518592476844788
layer,21,33-64,43975,5923,0.13469016486640137,0.21091780066490173,0.8056728009454668,15.666366577148438,0.7313856482505798
layer,21,65-128,43975,12674,0.2882092097782831,0.20282433927059174,0.9330913681552785,15.536030769348145,0.7084766626358032
layer,22,1,46789,5137,0.10979076278612494,0.06752686202526093,0.4504574654467588,16.66461944580078,0.8912441730499268
layer,22,2-4,46789,7043,0.15052683323003269,0.08425929397344589,0.5034786312650859,16.557918548583984,0.8690510392189026
layer,22,5-8,46789,4767,0.10188292119942721,0.10835661739110947,0.6005873715124816,16.508527755737305,0.863338828086853
layer,22,9-16,46789,5273,0.11269742888285708,0.12956443428993225,0.6700170680826854,16.42414093017578,0.8652174472808838
layer,22,17-32,46789,5531,0.11821154544871658,0.13964439928531647,0.6908334839992768,16.476652145385742,0.8572811484336853
layer,22,33-64,46789,6519,0.1393276197396824,0.20845536887645721,0.7807946003988342,16.33890151977539,0.8390838503837585
layer,22,65-128,46789,12519,0.2675628887131591,0.2119695246219635,0.9460020768431984,16.318918228149414,0.8227742910385132
layer,23,1,47431,5282,0.11136176762033269,0.06662262231111526,0.4327906096175691,17.117000579833984,0.9584160447120667
layer,23,2-4,47431,7020,0.14800446965065042,0.09306526184082031,0.539031339031339,17.156089782714844,0.9738948345184326
layer,23,5-8,47431,4784,0.10086230524340621,0.11740028113126755,0.6525919732441472,17.129676818847656,0.9826874732971191
layer,23,9-16,47431,5292,0.11157260019818262,0.125819593667984,0.7078609221466364,17.178768157958984,0.9752615094184875
layer,23,17-32,47431,5808,0.12245156121523898,0.1548178344964981,0.7355371900826446,17.05272674560547,0.9606473445892334
layer,23,33-64,47431,6660,0.14041449684805296,0.2097461223602295,0.7956456456456457,16.864809036254883,0.9298712015151978
layer,23,65-128,47431,12585,0.2653327992241361,0.19888585805892944,0.933253873659118,16.987367630004883,0.9248219132423401
layer,24,1,44970,5455,0.12130309094952191,0.06364595144987106,0.3952337305224565,16.571866989135742,0.8703464269638062
layer,24,2-4,44970,6909,0.15363575717144765,0.08939793705940247,0.4851642784773484,16.54183006286621,0.8590099811553955
layer,24,5-8,44970,4432,0.09855459195018902,0.1128680631518364,0.6042418772563177,16.579954147338867,0.852923572063446
layer,24,9-16,44970,4666,0.10375806092950857,0.11674976348876953,0.671453064723532,16.559999465942383,0.8473222851753235
layer,24,17-32,44970,5032,0.11189682010229042,0.13274474442005157,0.6742845786963434,16.371963500976562,0.8340134620666504
layer,24,33-64,44970,6201,0.13789192795196797,0.20857156813144684,0.7271407837445574,16.30437469482422,0.8111875057220459
layer,24,65-128,44970,12275,0.2729597509450745,0.20183970034122467,0.914867617107943,16.16622543334961,0.7951476573944092
layer,25,1,46599,5835,0.12521727934075838,0.06563679873943329,0.43050556983718935,18.080028533935547,0.9785983562469482
layer,25,2-4,46599,7853,0.1685229296766025,0.09232544898986816,0.5159811536992233,18.165287017822266,0.9791620373725891
layer,25,5-8,46599,4877,0.1046588982596193,0.12296058237552643,0.6270248103342219,18.272695541381836,0.9752545356750488
layer,25,9-16,46599,5216,0.11193373248352968,0.14285142719745636,0.6641104294478528,18.14984703063965,0.9666532874107361
layer,25,17-32,46599,5077,0.10895083585484668,0.1678193211555481,0.6708686232026787,18.077730178833008,0.9414860606193542
layer,25,33-64,46599,6377,0.13684843022382454,0.24435268342494965,0.7384350007840678,17.83880615234375,0.922720730304718
layer,25,65-128,46599,11364,0.24386789416081892,0.2161140739917755,0.9213305174234424,17.47891616821289,0.8581119179725647
layer,26,1,43821,5825,0.13292713539170717,0.06203104183077812,0.4353648068669528,20.719417572021484,1.263679027557373
layer,26,2-4,43821,7094,0.16188585381438123,0.08612117171287537,0.5054976036086833,20.65731430053711,1.2483553886413574
layer,26,5-8,43821,4404,0.10049976038885466,0.11041764914989471,0.6021798365122616,20.60886573791504,1.2401032447814941
layer,26,9-16,43821,4547,0.10376303598731201,0.13109517097473145,0.6100725753243897,20.61667823791504,1.2171815633773804
layer,26,17-32,43821,4830,0.11022112685698637,0.16081839799880981,0.6296066252587992,20.328073501586914,1.175367832183838
layer,26,33-64,43821,5804,0.13244791310102463,0.2215999811887741,0.7077877325982082,20.011314392089844,1.1270873546600342
layer,26,65-128,43821,11317,0.2582551744597339,0.2049444615840912,0.8876027215693205,19.841381072998047,1.070642352104187
layer,27,1,45417,6410,0.14113657881410044,0.06010356545448303,0.43962558502340093,22.95064353942871,1.5026012659072876
layer,27,2-4,45417,7979,0.17568311425237246,0.09049424529075623,0.5075824038100013,23.058645248413086,1.4903361797332764
