split,scope,method,rows,u_cosine_count,u_cosine_mean,u_cosine_maximum,u_cosine_minimum,relative_u_error_count,relative_u_error_mean,relative_u_error_maximum,relative_u_error_minimum,relative_contribution_error_count,relative_contribution_error_mean,relative_contribution_error_maximum,relative_contribution_error_minimum,worst_veto_row_relative_u_error_count,worst_veto_row_relative_u_error_mean,worst_veto_row_relative_u_error_maximum,worst_veto_row_relative_u_error_minimum
calibration,veto_only,proxy_mean_q_r2,5863,5863,0.6476147349584075,0.9999575614929199,-0.4970957040786743,5863,0.7543135876617226,5.823955535888672,0.009684404358267784,5863,0.056221488481860614,0.9940724968910217,2.114339167746948e-06,1781,0.890733752751086,5.823955535888672,0.030239306390285492
calibration,veto_only,proxy_mean_q_r4,5863,5863,0.6999716702137037,0.999975323677063,-0.40372979640960693,5863,0.6867078556233622,5.712738037109375,0.007391583174467087,5863,0.05144902637562833,1.0227817296981812,1.9961958059866447e-06,1781,0.82403101692063,5.712738037109375,0.021512800827622414
calibration,veto_only,proxy_mean_q_r8,5863,5863,0.7602562658386611,0.999997615814209,-0.30020031332969666,5863,0.6020418509250688,5.443460464477539,0.0029755474533885717,5863,0.04501846817166512,0.9168241620063782,2.592268401713227e-06,1781,0.7407830803741893,5.443460464477539,0.004222548101097345
calibration,veto_only,proxy_mean_veto_q_r1,5863,5863,0.8069199717235257,1.000000238418579,-0.4990220069885254,5863,0.49404006804633377,6.840874671936035,5.479935794028279e-08,5863,0.03348586369503873,1.1002117395401,3.0458389716631062e-12,1781,0.5476065995936437,6.840874671936035,5.479935794028279e-08
calibration,veto_only,proxy_mean_veto_q_r2,5863,5863,0.8386081701359656,1.000000238418579,-0.4991080164909363,5863,0.4365030240737267,6.092394828796387,5.56778694260629e-08,5863,0.02968562097545304,1.0250968933105469,6.512038304429257e-12,1781,0.48354607660820204,6.092394828796387,5.56778694260629e-08
calibration,veto_only,proxy_mean_veto_q_r4,5863,5863,0.8716316864344954,1.000000238418579,-0.41433975100517273,5863,0.3778939165631504,5.639085292816162,3.985408270068547e-08,5863,0.02515117217308933,1.0301910638809204,2.1998121640248725e-12,1781,0.42387180125333296,5.639085292816162,3.985408270068547e-08
calibration,veto_only,proxy_mean_veto_q_r8,5863,5863,0.9045813569772697,1.0000001192092896,-0.3172942101955414,5863,0.31534585285265937,5.35646390914917,5.691751425729308e-08,5863,0.020577116546787674,1.0833278894424438,2.4577191410496413e-12,1781,0.3653445011879364,5.35646390914917,5.691751425729308e-08
calibration,veto_only,top_1_mean_v,5863,5863,0.8303749329592691,1.0000001192092896,-0.2508821487426758,5863,0.8505432992579895,5.52133321762085,4.0866136259865016e-05,5863,0.03489178370793568,1.5254621505737305,2.1157825358386617e-07,1781,1.1234550514703507,5.52133321762085,0.00010946834663627669
calibration,veto_only,top_2_mean_v,5863,5863,0.7872616422341817,1.0,-0.1433681845664978,5863,0.9628855497362026,5.380986213684082,0.0002161356242140755,5863,0.054828092113682565,1.8405303955078125,9.647013712310581e-07,1781,1.2292785395376316,5.380986213684082,0.0008612275123596191
calibration,veto_only,top_4_mean_v,5863,5863,0.7672751042196051,1.0,-0.264996200799942,5863,0.8809990188673041,5.336843490600586,0.0002161356242140755,5863,0.056767320448136344,1.30298912525177,3.041853460672428e-06,1781,1.105393944715648,5.336843490600586,0.0008612275123596191
calibration,veto_only,top_8_mean_v,5863,5863,0.7327854957745438,1.0,-0.23500214517116547,5863,0.8215665200889143,5.028875827789307,0.0002161356242140755,5863,0.05763830053997386,1.317689299583435,3.4117156246793456e-06,1781,1.0155596043722384,5.028875827789307,0.0008612275123596191
calibration,veto_only,uniform_r1,5863,5863,0.5115766063383071,0.9988512992858887,-0.3832223117351532,5863,0.9402510609154345,3.348433256149292,0.06115458160638809,5863,0.06737645221280877,1.0595096349716187,3.859385287796613e-06,1781,1.0716153337572614,3.348433256149292,0.06914883852005005
calibration,veto_only,uniform_r2,5863,5863,0.5354348587441847,0.9992161989212036,-0.3530772924423218,5863,0.9241396627548853,3.3146414756774902,0.049390606582164764,5863,0.06629203314708007,1.0590792894363403,3.8527095966855995e-06,1781,1.0618520147140478,3.3146414756774902,0.06968384981155396
calibration,veto_only,uniform_r4,5863,5863,0.5683315619778663,0.9992163777351379,-0.3385121822357178,5863,0.8976944082969542,3.32869553565979,0.049725037068128586,5863,0.06460681764598754,1.0897568464279175,3.7663080547645222e-06,1781,1.0432774567833314,3.32869553565979,0.06116928160190582
calibration,veto_only,uniform_r8,5863,5863,0.6125283992455984,0.9996398091316223,-0.33512383699417114,5863,0.8572733938171709,3.4451544284820557,0.03523581475019455,5863,0.06201508290645835,1.2327888011932373,3.832823949778685e-06,1781,1.010999903114223,3.4451544284820557,0.052044983953237534
calibration,veto_only,zero,5863,5863,0.0,0.0,0.0,5863,0.9999999997051792,1.0,0.9999999403953552,5863,0.06804885433467764,0.9904905557632446,4.176602033112431e-06,1781,0.9999999997322644,1.0,0.9999999403953552
test,all_rows,kmeans_joint_r1,469120,469120,0.6695606743828496,0.9999982118606567,-0.4164488911628723,469120,0.7619737271872767,3.6508617401123047,0.0018833972280845046,469120,0.008277557350329173,1.125907301902771,2.1017255047873357e-13,3665,1.0574046050827304,3.479794979095459,0.07131379097700119
test,all_rows,kmeans_joint_r2,469120,469120,0.7131966222939199,1.0000001192092896,-0.3942403793334961,469120,0.721597524928275,7.737663745880127,9.894264803733677e-05,469120,0.007874127589976108,1.1847041845321655,1.992222576144287e-13,3665,1.0418146775620907,4.775874614715576,0.0016425420762971044
test,all_rows,kmeans_joint_r4,469120,469120,0.7560610398134966,1.0000001192092896,-0.4574047029018402,469120,0.6715705245625793,9.701693534851074,3.535234645823948e-05,469120,0.007369411955463326,1.4110407829284668,1.526504617155311e-13,3665,1.0096579083086514,8.52306079864502,0.001113765174522996
test,all_rows,kmeans_joint_r8,469120,469120,0.8004251104027735,1.000000238418579,-0.43172621726989746,469120,0.6076232486897414,8.502073287963867,2.6976947538059903e-06,469120,0.006717294448486602,1.3371541500091553,1.9618689810728396e-13,3665,0.9562042469718814,8.502073287963867,2.6637384507921524e-05
test,all_rows,kmeans_k_r1,469120,469120,0.6695606743828496,0.9999982118606567,-0.4164488911628723,469120,0.7619737271872767,3.6508617401123047,0.0018833972280845046,469120,0.008277557350329173,1.125907301902771,2.1017255047873357e-13,3665,1.0574046050827304,3.479794979095459,0.07131379097700119
test,all_rows,kmeans_k_r2,469120,469120,0.7155123925078132,1.0000001192092896,-0.39416971802711487,469120,0.715984946283502,4.744876861572266,6.523730553453788e-05,469120,0.007772715672309379,1.0574554204940796,1.968230943895713e-13,3665,1.0289743221761967,4.107302665710449,0.0028778722044080496
test,all_rows,kmeans_k_r4,469120,469120,0.7652533264210039,1.0000001192092896,-0.34234508872032166,469120,0.6419248659544602,6.112557888031006,6.27765548415482e-05,469120,0.006842965168769154,1.078795075416565,1.8154013990863416e-13,3665,0.9607272179062907,4.4457902908325195,0.002445400692522526
test,all_rows,kmeans_k_r8,469120,469120,0.8119133810117726,1.0000001192092896,-0.3737868666648865,469120,0.569907121095504,7.919149398803711,1.4475889656750951e-05,469120,0.006098616659570698,1.229648232460022,1.9042159884498366e-13,3665,0.885046632878678,4.571286678314209,0.0020994991064071655
test,all_rows,mean_v,469120,469120,0.6695606734397147,0.9999982118606567,-0.4164488911628723,469120,0.7619737271872767,3.6508617401123047,0.0018833972280845046,469120,0.008277557350329173,1.125907301902771,2.1017255047873357e-13,3665,1.0574046050827304,3.479794979095459,0.07131379097700119
