split,scope,method,rows,relative_output_error_count,relative_output_error_mean,relative_output_error_maximum,relative_output_error_minimum,row_cosine_count,row_cosine_mean,row_cosine_maximum,row_cosine_minimum,maximum_absolute_output_error,relative_denominator_error_count,relative_denominator_error_mean,relative_denominator_error_maximum,relative_denominator_error_minimum,relative_numerator_error_count,relative_numerator_error_mean,relative_numerator_error_maximum,relative_numerator_error_minimum
test,all_rows,exact_mass__proxy_mean_veto_q_r2,36864,36864,0.05635243122452918,1.6098086833953857,0.0,36864,0.994533532394093,1.000000238418579,-0.050011321902275085,7.819549560546875,36864,4.498158685035176e-08,1.9669532775878906e-06,0.0,36864,0.056352432012805646,1.6098085641860962,0.0
test,all_rows,exact_mass__proxy_mean_veto_q_r4,36864,36864,0.04918599453125901,1.310471773147583,0.0,36864,0.9958739269786747,1.000000238418579,0.046809688210487366,7.340148448944092,36864,4.498158685035176e-08,1.9669532775878906e-06,0.0,36864,0.04918599525583344,1.310472011566162,0.0
test,all_rows,exact_mass__proxy_mean_veto_q_r8,36864,36864,0.04202185940783116,1.0886188745498657,0.0,36864,0.9969104641071075,1.000000238418579,0.036256685853004456,7.189416885375977,36864,4.498158685035176e-08,1.9669532775878906e-06,0.0,36864,0.0420218600413554,1.0886187553405762,0.0
test,all_rows,exact_mass__uniform_r1,36864,36864,0.07976105012965011,1.8625173568725586,0.0,36864,0.9873034244566143,1.000000238418579,-0.11050310730934143,8.676549911499023,36864,4.498158685035176e-08,1.9669532775878906e-06,0.0,36864,0.07976105125464578,1.862517237663269,0.0
test,all_rows,exact_mass__uniform_r2,36864,36864,0.07750939602871763,1.821354627609253,0.0,36864,0.9879608697711875,1.000000238418579,-0.10966455191373825,8.773614883422852,36864,4.498158685035176e-08,1.9669532775878906e-06,0.0,36864,0.0775093971562866,1.821354627609253,0.0
test,all_rows,exact_mass__uniform_r4,36864,36864,0.0744823131181682,1.8757904767990112,0.0,36864,0.9888344751749779,1.000000238418579,-0.10250438004732132,7.689229965209961,36864,4.498158685035176e-08,1.9669532775878906e-06,0.0,36864,0.07448231411047476,1.8757905960083008,0.0
test,all_rows,exact_mass__uniform_r8,36864,36864,0.06962065528009714,1.9354758262634277,0.0,36864,0.9900857165686021,1.000000238418579,-0.07445908337831497,6.602139472961426,36864,4.498158685035176e-08,1.9669532775878906e-06,0.0,36864,0.0696206561404855,1.9354758262634277,0.0
test,all_rows,exact_mass__zero_value,36864,36864,0.09864082030300608,1.002517819404602,0.0,36864,0.9936403965948557,1.000000238418579,0.058581843972206116,8.671954154968262,36864,4.498158685035176e-08,1.9669532775878906e-06,0.0,36864,0.09864082164876825,1.002517819404602,0.0
test,all_rows,kmeans_joint_r1,36864,36864,0.07580209944736291,2.8880767822265625,0.0,36864,0.9938214267112926,1.000000238418579,0.06939535588026047,7.018345355987549,36864,0.08417454528292485,0.9995254278182983,0.0,36864,0.08514203975672165,1.0012685060501099,0.0
test,all_rows,kmeans_joint_r2,36864,36864,0.07345910085983849,2.8776400089263916,0.0,36864,0.993946705889458,1.000000238418579,0.14191681146621704,6.753312587738037,36864,0.07720130413589585,0.9994396567344666,0.0,36864,0.07841818746038873,0.9998661279678345,0.0
test,all_rows,kmeans_joint_r4,36864,36864,0.06776855754043733,2.807640552520752,0.0,36864,0.9947604946622354,1.000000238418579,0.1404740959405899,6.740318298339844,36864,0.07083805705446543,0.9993925094604492,0.0,36864,0.07130770818993512,0.9998177886009216,0.0
test,all_rows,kmeans_joint_r8,36864,36864,0.06029943057439883,2.4982964992523193,0.0,36864,0.9956802436528152,1.000000238418579,0.14843419194221497,6.032046318054199,36864,0.06350454872234776,0.9993848204612732,0.0,36864,0.06332332921375482,0.9998096823692322,0.0
test,all_rows,kmeans_mass_r1__exact_u,36864,36864,0.06437635900906064,2.8783931732177734,0.0,36864,0.9954826915616448,1.000000238418579,0.14569608867168427,7.02675199508667,36864,0.08417454528292485,0.9995254278182983,0.0,36864,0.07597861804856773,0.999875545501709,0.0
test,all_rows,kmeans_mass_r2__exact_u,36864,36864,0.05959576405240884,2.8496923446655273,0.0,36864,0.995912084678922,1.000000238418579,0.14711987972259521,5.825092315673828,36864,0.07486106724374825,0.9994011521339417,0.0,36864,0.06707389737042006,0.9998114109039307,0.0
test,all_rows,kmeans_mass_r4__exact_u,36864,36864,0.053456110146296504,2.548466205596924,0.0,36864,0.9964975085050456,1.000000238418579,0.16941387951374054,5.547149658203125,36864,0.06637196696505675,0.9993910789489746,0.0,36864,0.05920076314827724,0.9998078346252441,0.0
test,all_rows,kmeans_mass_r8__exact_u,36864,36864,0.04562502851815978,2.219271183013916,0.0,36864,0.9972439100383781,1.000000238418579,0.19666358828544617,4.916363716125488,36864,0.0578578711995053,0.9993399381637573,0.0,36864,0.051903842314635025,0.9997583627700806,0.0
test,all_rows,maximum_count_mass__exact_u,36864,36864,0.26342801152202155,2.8030529022216797,0.0,36864,0.9347863581174857,1.000000238418579,0.034966133534908295,6.42444372177124,36864,2.3539544637153287,62.95722961425781,0.0,36864,2.2030840193255647,62.98683547973633,0.0
test,all_rows,maximum_logit_mass__exact_u,36864,36864,0.045520124610941806,0.6041452884674072,0.0,36864,0.9983165354626382,1.000000238418579,0.8068164587020874,1.583709716796875,36864,0.07023056442590637,0.7623237371444702,0.0,36864,0.06441186075914423,0.7808182835578918,0.0
test,all_rows,mean_variance_mass__exact_u,36864,36864,0.05972277630004957,3.402860164642334,0.0,36864,0.9895933902570404,1.000000238418579,-0.11692626029253006,6.848661422729492,36864,0.8257606356718397,8328.3056640625,0.0,36864,0.8635115045014515,10042.2451171875,0.0
test,all_rows,online_mass__uniform_r8,36864,36864,0.35209623342112056,3.2846157550811768,0.0,36864,0.8969183198799379,1.000000238418579,-0.2458573877811432,7.829258918762207,36864,2.3539544637153287,62.95722961425781,0.0,36864,2.033157439961436,123.73015594482422,0.0
