split,method,rows,log_z_correlation,absolute_log_z_error_count,absolute_log_z_error_mean,absolute_log_z_error_maximum,absolute_log_z_error_minimum,normalized_mass_correlation,relative_mass_error_count,relative_mass_error_mean,relative_mass_error_maximum,relative_mass_error_minimum,worst_veto_row_relative_mass_error_count,worst_veto_row_relative_mass_error_mean,worst_veto_row_relative_mass_error_maximum,worst_veto_row_relative_mass_error_minimum,candidate_pair_ranking_accuracy,candidate_top1_ranking_accuracy
test,mean_logit,12333,0.458458301219153,12333,2.8783856758833184,20.0675048828125,0.012186646461486816,0.5575579713384098,12333,15.391212654589856,100454.5546875,3.693681719596498e-05,3665,46.83620270599937,100454.5546875,0.00020221031445544213,0.7207653947442147,0.4979757085020243
test,mean_variance,12333,0.9039560546105286,12333,0.7345824957203229,11.58188533782959,2.4318695068359375e-05,0.60443487659102,12333,1.8339811538003077,583.2698364257812,4.697261829278432e-05,3665,3.871195283169801,583.2698364257812,4.697261829278432e-05,0.7800190508208662,0.631578947368421
test,per_instance_entropy_oracle,12333,0.9999999999999813,12333,3.1271173572594413e-07,3.814697265625e-06,0.0,0.999999999999757,12333,4.684992027001213e-07,5.61849901714595e-06,0.0,3665,7.661569583070363e-07,5.61849901714595e-06,0.0,1.0,1.0
test,proxy_mean_q_r1,12333,0.5625137133237734,12333,2.1995053921487804,19.343217849731445,0.003726482391357422,0.5777798503641822,12333,14.668238543097486,43216.640625,3.72731956304051e-05,3665,43.43898747052551,43216.640625,0.0005617355345748365,0.754944808651314,0.5506072874493927
test,proxy_mean_q_r2,12333,0.606742290930885,12333,1.9594727661740043,18.73215103149414,0.0034689903259277344,0.6026498020177494,12333,14.949480947444359,41701.73046875,5.665019671141636e-06,3665,44.928924055234305,41701.73046875,2.3299313397728838e-05,0.7713341177788984,0.5708502024291497
test,proxy_mean_q_r4,12333,0.6637982517494138,12333,1.6847231536124982,17.719356536865234,0.0024261474609375,0.6213734227537874,12333,11.387029164021051,30925.806640625,2.5095401724684052e-05,3665,33.785429684404455,30925.806640625,0.00010172946349484846,0.7901608113408416,0.5870445344129555
test,proxy_mean_q_r8,12333,0.7428163638071781,12333,1.3754615340124206,16.18345069885254,0.0008001327514648438,0.6346684205673394,12333,7.991105379088728,32967.3359375,5.087839235784486e-05,3665,22.905314422174502,32967.3359375,0.0005141487345099449,0.8128256849890738,0.6153846153846154
test,proxy_mean_veto_q_r1,12333,0.7570242746897662,12333,1.0981975492311395,18.349220275878906,0.0,0.6015883467042736,12333,214.68449025675108,2382858.75,3.199676939402707e-05,3665,712.6229968400683,2382858.75,0.002489278791472316,0.7450271754356474,0.5587044534412956
test,proxy_mean_veto_q_r2,12333,0.8130983477872717,12333,0.9228975235591846,17.67829704284668,0.0,0.6266840065907713,12333,156.67081112657416,1691811.5,0.00018915221153292805,3665,518.6736091185377,1691811.5,0.0022750443313270807,0.7723707065613268,0.611336032388664
test,proxy_mean_veto_q_r4,12333,0.8606722346604654,12333,0.7448077310548157,17.372169494628906,0.0,0.6513957476159292,12333,187.9478173998855,2093299.375,0.00015214590530376881,3665,624.5656269492698,2093299.375,0.0019540514331310987,0.7993780467305429,0.6356275303643725
test,proxy_mean_veto_q_r8,12333,0.9050515692866419,12333,0.5742549722326901,15.737045288085938,0.0,0.6952271430173085,12333,126.38106529380686,1384562.75,2.817219683493022e-05,3665,418.7033912325359,1384562.75,0.001688111573457718,0.8248445116826357,0.6477732793522267
test,uniform_r1,12333,0.4584582977477195,12333,2.878385678937736,20.067502975463867,0.012186408042907715,0.5575579642142838,12333,15.391218530092008,100454.6484375,3.7474732380360365e-05,3665,46.836223253132786,100454.6484375,0.00020232898532412946,0.7207653947442147,0.4979757085020243
test,uniform_r2,12333,0.4962231823681775,12333,2.6599256265369307,19.36020851135254,0.012186646461486816,0.6021435019101946,12333,13.637304867661074,68503.9140625,4.433781577972695e-05,3665,41.34147318350162,68503.9140625,0.00021144836500752717,0.7345772398722474,0.5506072874493927
test,uniform_r4,12333,0.548236380358428,12333,2.414389088695515,17.487934112548828,0.010847687721252441,0.6330273007350893,12333,9.515060443254711,52931.140625,6.176395254442468e-05,3665,28.135820519307973,52931.140625,0.0005814848700538278,0.7450832072617246,0.5870445344129555
test,uniform_r8,12333,0.6213665087147643,12333,2.1347966928952977,16.94733428955078,0.010376691818237305,0.6791787202956342,12333,12.731500507756058,88879.125,6.0369584389263764e-05,3665,39.55383865908408,88879.125,6.0369584389263764e-05,0.7587269569115257,0.6072874493927125
